time,lasttime,lat,lng,speed,course,altitude,comment,Unit,hour,c,unit2
2018-08-26 05:26:00,2018-08-26 05:29:00,38.9705,-77.38633,0.0,35.0,108.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:37:00,2018-08-26 05:37:00,38.97067,-77.38667,11.0,311.0,107.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:38:00,2018-08-26 05:38:00,38.96933,-77.38933,39.0,266.0,111.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:42:00,2018-08-26 05:42:00,38.97933,-77.42667,52.0,316.0,100.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:46:00,2018-08-26 05:46:00,39.02783,-77.431,65.0,269.0,73.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:48:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:53:00,2018-08-26 05:53:00,38.91681,-77.50344,22.0,170.0,,KN4MHS,RBC-SAG-11-ios,9.0,tab:purple,SAG-11
2018-08-26 05:53:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:54:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:54:00,2018-08-26 05:54:00,38.914770000000004,-77.50565,39.0,114.0,,KN4MHS,RBC-SAG-11-ios,9.0,tab:purple,SAG-11
2018-08-26 05:55:00,2018-08-26 05:55:00,38.91106,-77.49304000000002,74.0,99.0,,KN4MHS,RBC-SAG-11-ios,9.0,tab:purple,SAG-11
2018-08-26 05:55:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:56:00,2018-08-26 05:56:00,38.91581,-77.48501999999998,64.0,116.0,,KN4MHS,RBC-SAG-11-ios,9.0,tab:purple,SAG-11
2018-08-26 05:56:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:57:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:57:00,2018-08-26 05:57:00,38.91019,-77.47113,84.0,117.0,,KN4MHS,RBC-SAG-11-ios,9.0,tab:purple,SAG-11
2018-08-26 05:58:00,2018-08-26 05:58:00,38.90441,-77.4568,82.0,116.0,,KN4MHS,RBC-SAG-11-ios,9.0,tab:purple,SAG-11
2018-08-26 05:58:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 05:59:00,2018-08-26 05:59:00,38.89877,-77.4429,85.0,117.0,,KN4MHS,RBC-SAG-11-ios,9.0,tab:purple,SAG-11
2018-08-26 05:59:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 06:00:00,2018-08-26 06:00:00,38.89962,-77.43754,86.0,28.0,,KN4MHS,RBC-SAG-11-ios,10.0,tab:purple,SAG-11
2018-08-26 06:00:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 06:01:00,2018-08-26 06:01:00,38.91379000000001,-77.4304,108.0,8.0,,KN4MHS,RBC-SAG-11-ios,10.0,tab:purple,SAG-11
2018-08-26 06:01:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 06:02:00,2018-08-26 05:56:00,39.03,-77.4335,0.0,261.0,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9.0,tab:cyan,SAG-09
2018-08-26 06:02:00,2018-08-26 06:02:00,38.92995,-77.42984,111.0,0.0,,KN4MHS,RBC-SAG-11-ios,10.0,tab:purple,SAG-11
