"PT_NUMBER","PLANT","SRC_UNIT","NUCLIDE","ACTIVITY","ACT_UNITS","Max0Avg1Sum2","NUCTYPEIMPTYPE","SOURCE","STARTDATE","ENDDATE","DURATION_MIN","FLOW_RATE","FLOW_UNITS","REL_VOL","REL_UNITS","RELEASE_SOURCE","DISCHARGE_POINT","REL_MODE_OR_DIL","IS_MDA","BATCHORCONT","ALLOCATION_PERCENT"
2016001,"Byron","Unit 1","H-3","4.06E-07","uCi/cc","NA","","",1/5/2016 3:58:00,1/5/2016 4:51:00,53.00,"1.38E+03","cfm","7.32E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016001,"Byron","Unit 1","CO-58","1.21E-06","uCi/ml","NA","","",1/8/2016 14:01:00,1/8/2016 16:11:00,130.00,"1.69E+02","gpm","2.19E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016001,"Byron","Unit 1","CO-60","2.21E-07","uCi/ml","NA","","",1/8/2016 14:01:00,1/8/2016 16:11:00,130.00,"1.69E+02","gpm","2.19E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016001,"Byron","Unit 1","H-3","2.47E-01","uCi/ml","NA","","",1/8/2016 14:01:00,1/8/2016 16:11:00,130.00,"1.69E+02","gpm","2.19E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016001,"Byron","Unit 1","NI-63","1.51E-06","uCi/ml","NA","","",1/8/2016 14:01:00,1/8/2016 16:11:00,130.00,"1.69E+02","gpm","2.19E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016002,"Byron","Unit 1","H-3","4.06E-07","uCi/cc","NA","","",1/6/2016 16:56:00,1/6/2016 18:06:00,70.00,"1.53E+03","cfm","1.07E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016002,"Byron","Unit 1","CO-58","8.55E-07","uCi/ml","NA","","",1/20/2016 16:40:00,1/20/2016 20:06:00,206.00,"1.10E+02","gpm","2.27E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016002,"Byron","Unit 1","CO-60","3.57E-07","uCi/ml","NA","","",1/20/2016 16:40:00,1/20/2016 20:06:00,206.00,"1.10E+02","gpm","2.27E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016002,"Byron","Unit 1","H-3","3.42E-01","uCi/ml","NA","","",1/20/2016 16:40:00,1/20/2016 20:06:00,206.00,"1.10E+02","gpm","2.27E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016002,"Byron","Unit 1","NI-63","1.51E-06","uCi/ml","NA","","",1/20/2016 16:40:00,1/20/2016 20:06:00,206.00,"1.10E+02","gpm","2.27E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016003,"Byron","Unit 1","H-3","3.41E-07","uCi/cc","NA","","",1/1/2016 1:42:00,1/1/2016 2:43:00,61.00,"1.57E+03","cfm","9.61E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016003,"Byron","Unit 1","CO-58","1.28E-06","uCi/ml","NA","","",1/26/2016 10:47:00,1/26/2016 13:36:00,169.00,"1.26E+02","gpm","2.14E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016003,"Byron","Unit 1","CO-60","3.36E-07","uCi/ml","NA","","",1/26/2016 10:47:00,1/26/2016 13:36:00,169.00,"1.26E+02","gpm","2.14E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016003,"Byron","Unit 1","H-3","3.11E-01","uCi/ml","NA","","",1/26/2016 10:47:00,1/26/2016 13:36:00,169.00,"1.26E+02","gpm","2.14E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016003,"Byron","Unit 1","NI-63","1.51E-06","uCi/ml","NA","","",1/26/2016 10:47:00,1/26/2016 13:36:00,169.00,"1.26E+02","gpm","2.14E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016004,"Byron","Unit 1","H-3","3.26E-07","uCi/cc","NA","","",1/2/2016 15:07:00,1/2/2016 16:07:00,60.00,"1.60E+03","cfm","9.62E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016004,"Byron","Unit 1","CO-58","1.42E-06","uCi/ml","NA","","",2/2/2016 14:22:00,2/2/2016 18:10:00,228.00,"1.04E+02","gpm","2.37E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016004,"Byron","Unit 1","CO-60","4.58E-07","uCi/ml","NA","","",2/2/2016 14:22:00,2/2/2016 18:10:00,228.00,"1.04E+02","gpm","2.37E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016004,"Byron","Unit 1","H-3","4.23E-01","uCi/ml","NA","","",2/2/2016 14:22:00,2/2/2016 18:10:00,228.00,"1.04E+02","gpm","2.37E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
2016004,"Byron","Unit 1","NI-63","1.51E-06","uCi/ml","NA","","",2/2/2016 14:22:00,2/2/2016 18:10:00,228.00,"1.04E+02","gpm","2.37E+04","gal","Liquid Release Tank","Liquid Release Tank","Liquid","","B",100
