"PT_NUMBER","PLANT","SRC_UNIT","NUCLIDE","ACTIVITY","ACT_UNITS","Max0Avg1Sum2","NUCTYPEIMPTYPE","SOURCE","STARTDATE","ENDDATE","DURATION_MIN","FLOW_RATE","FLOW_UNITS","REL_VOL","REL_UNITS","RELEASE_SOURCE","DISCHARGE_POINT","REL_MODE_OR_DIL","IS_MDA","BATCHORCONT","ALLOCATION_PERCENT"
2016001,"Quad Cities","Unit 1","BA-140","3.17E-13","uCi/cc","","","",1/1/2016 0:00:00,1/5/2016 9:14:00,6314.00,"3.40E+05","cfm","2.15E+09","cf","Main Chimney IP Unit 1+2","Main Chimney IP Unit 1+2","elevated","","C",100
2016001,"Quad Cities","Unit 1","I-131","2.50E-13","uCi/cc","","","",1/1/2016 0:00:00,1/5/2016 9:14:00,6314.00,"3.40E+05","cfm","2.15E+09","cf","Main Chimney IP Unit 1+2","Main Chimney IP Unit 1+2","elevated","","C",100
2016001,"Quad Cities","Unit 1","I-133","2.05E-12","uCi/cc","","","",1/1/2016 0:00:00,1/5/2016 9:14:00,6314.00,"3.40E+05","cfm","2.15E+09","cf","Main Chimney IP Unit 1+2","Main Chimney IP Unit 1+2","elevated","","C",100
2016001,"Quad Cities","Unit 1","LA-140","3.17E-13","uCi/cc","","","",1/1/2016 0:00:00,1/5/2016 9:14:00,6314.00,"3.40E+05","cfm","2.15E+09","cf","Main Chimney IP Unit 1+2","Main Chimney IP Unit 1+2","elevated","","C",100
2016010,"Quad Cities","Unit 1","AR-41","6.62E-07","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016010,"Quad Cities","Unit 1","KR-85M","1.77E-06","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016010,"Quad Cities","Unit 1","KR-87","1.19E-05","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016010,"Quad Cities","Unit 1","KR-88","7.38E-06","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016010,"Quad Cities","Unit 1","XE-133","6.78E-07","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016010,"Quad Cities","Unit 1","XE-135","1.01E-05","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016010,"Quad Cities","Unit 1","XE-135M","8.00E-05","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016010,"Quad Cities","Unit 1","XE-138","2.95E-04","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:34:00,7654.00,"2.10E+01","cfm","1.61E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","AR-41","1.22E-06","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","KR-85M","5.28E-07","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","KR-87","3.69E-06","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","KR-88","2.15E-06","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","XE-133","2.17E-07","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","XE-135","3.07E-06","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","XE-135M","2.40E-05","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016011,"Quad Cities","Unit 2","XE-138","9.29E-05","uCi/cc","","","",1/1/2016 0:00:00,1/6/2016 7:59:00,7679.00,"2.20E+01","cfm","1.69E+05","cf","Unit 2 Gland Seal","Unit 2 Gland Seal","elevated","","C",100
2016012,"Quad Cities","Unit 1","AR-41","1.13E-06","uCi/cc","","","",1/6/2016 7:34:00,1/13/2016 7:05:00,10051.00,"2.20E+01","cfm","2.21E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016012,"Quad Cities","Unit 1","KR-85M","1.45E-06","uCi/cc","","","",1/6/2016 7:34:00,1/13/2016 7:05:00,10051.00,"2.20E+01","cfm","2.21E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016012,"Quad Cities","Unit 1","KR-87","9.68E-06","uCi/cc","","","",1/6/2016 7:34:00,1/13/2016 7:05:00,10051.00,"2.20E+01","cfm","2.21E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016012,"Quad Cities","Unit 1","KR-88","6.16E-06","uCi/cc","","","",1/6/2016 7:34:00,1/13/2016 7:05:00,10051.00,"2.20E+01","cfm","2.21E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016012,"Quad Cities","Unit 1","XE-133","5.74E-07","uCi/cc","","","",1/6/2016 7:34:00,1/13/2016 7:05:00,10051.00,"2.20E+01","cfm","2.21E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
2016012,"Quad Cities","Unit 1","XE-135","8.19E-06","uCi/cc","","","",1/6/2016 7:34:00,1/13/2016 7:05:00,10051.00,"2.20E+01","cfm","2.21E+05","cf","Unit 1 Gland Seal","Unit 1 Gland Seal","elevated","","C",100
