time,lasttime,lat,lng,speed,course,altitude,comment,Unit,hour,c,unit2
2018-08-25 23:39:00,2018-08-25 23:39:00,39.02067,-77.38033,2,335,109.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,3,r,SAG-09
2018-08-25 23:42:00,2018-08-26 00:45:00,39.0205,-77.38033,0,121,96.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,3,r,SAG-09
2018-08-26 02:34:00,2018-08-26 02:34:00,39.0205,-77.38,0,275,94.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 02:37:00,2018-08-26 02:37:00,39.02067,-77.38016999999999,9,115,113.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 02:38:00,2018-08-26 02:38:00,39.0195,-77.38067,19,259,98.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 02:38:00,2018-08-26 02:38:00,39.02283,-77.387,80,304,101.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 02:41:00,2018-08-26 02:41:00,39.03817,-77.41367,11,183,89.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 02:42:00,2018-08-26 02:42:00,39.03783,-77.414,9,72,85.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 02:43:00,2018-08-26 02:43:00,39.036,-77.40883000000001,11,198,75.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 02:45:00,2018-08-26 02:45:00,39.03533,-77.40833,26,85,76.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,6,r,SAG-09
2018-08-26 05:26:00,2018-08-26 05:29:00,38.9705,-77.38633,0,35,108.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9,r,SAG-09
2018-08-26 05:37:00,2018-08-26 05:37:00,38.97067,-77.38667,11,311,107.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9,r,SAG-09
2018-08-26 05:38:00,2018-08-26 05:38:00,38.96933,-77.38933,39,266,111.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9,r,SAG-09
2018-08-26 05:42:00,2018-08-26 05:42:00,38.97933,-77.42667,52,316,100.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9,r,SAG-09
2018-08-26 05:46:00,2018-08-26 05:46:00,39.02783,-77.431,65,269,73.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9,r,SAG-09
2018-08-26 05:48:00,2018-08-26 05:56:00,39.03,-77.4335,0,261,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,9,r,SAG-09
2018-08-26 06:12:00,2018-08-26 06:12:00,38.95795,-77.35686,0,333,127.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:14:00,2018-08-26 06:14:00,38.958059999999996,-77.35645,2,186,59.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:16:00,2018-08-26 06:16:00,38.95799,-77.35663000000001,2,19,122.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:16:00,2018-08-26 06:16:00,39.07983,-77.60417,0,191,128.0,RESTON BIKE EVENT SUPPORT,RBCSAG-04,10,b,SAG-04
2018-08-26 06:18:00,2018-08-26 06:18:00,38.95773,-77.35705,7,135,171.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:20:00,2018-08-26 06:20:00,39.0295,-77.43517,0,178,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
2018-08-26 06:20:00,2018-08-26 06:20:00,38.95787,-77.35696,2,35,89.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:22:00,2018-08-26 06:22:00,38.95895,-77.35675,2,0,-4.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:24:00,2018-08-26 06:24:00,39.02767,-77.43633,28,156,67.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
2018-08-26 06:24:00,2018-08-26 06:24:00,38.95596,-77.3567,2,359,225.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:26:00,2018-08-26 06:26:00,38.999,-77.43483,96,166,99.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
2018-08-26 06:28:00,2018-08-26 06:28:00,38.95991,-77.35466,2,285,211.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:28:00,2018-08-26 06:28:00,38.968,-77.42933000000001,107,180,92.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
2018-08-26 06:30:00,2018-08-26 06:30:00,38.9445,-77.42317,72,123,90.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
2018-08-26 06:34:00,2018-08-26 06:34:00,38.93983,-77.38417,22,85,126.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
2018-08-26 06:36:00,2018-08-26 06:36:00,38.94867,-77.3745,26,50,115.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
2018-08-26 06:36:00,2018-08-26 06:36:00,38.986290000000004,-77.34215,28,325,175.0,KG4TIH Beacon #1,RBCSAG-01,10,y,SAG-01
2018-08-26 06:38:00,2018-08-26 06:38:00,38.9515,-77.36783,0,29,126.0,Reston Bike Club SAG-9 KG4TIH,RBCSAG-09,10,r,SAG-09
