Liqueur,Category,Score
Sambuca,Appearance,5
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,4
Anisette,Appearance,5
Anisette,Aroma,5
Anisette,Initial Taste,4
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,4
Ouzo,Aroma,5
Ouzo,Initial Taste,4
Ouzo,Flavor,4
Ouzo,After Taste,4
Aqua Vit,Appearance,5
Aqua Vit,Aroma,5
Aqua Vit,Initial Taste,4
Aqua Vit,Flavor,5
Aqua Vit,After Taste,4
Slivovitz,Appearance,5
Slivovitz,Aroma,3
Slivovitz,Initial Taste,3
Slivovitz,Flavor,2
Slivovitz,After Taste,2
Aguardient,Appearance,4
Aguardient,Aroma,2
Aguardient,Initial Taste,3
Aguardient,Flavor,2
Aguardient,After Taste,3
Sambuca,Appearance,5
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,5
Anisette,Appearance,5
Anisette,Aroma,4
Anisette,Initial Taste,5
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,
Ouzo,Aroma,
Ouzo,Initial Taste,
Ouzo,Flavor,
Ouzo,After Taste,
Aqua Vit,Appearance,5
Aqua Vit,Aroma,1
Aqua Vit,Initial Taste,1
Aqua Vit,Flavor,1
Aqua Vit,After Taste,1
Slivovitz,Appearance,5
Slivovitz,Aroma,2
Slivovitz,Initial Taste,1
Slivovitz,Flavor,1
Slivovitz,After Taste,1
Aguardient,Appearance,4
Aguardient,Aroma,4
Aguardient,Initial Taste,3
Aguardient,Flavor,3
Aguardient,After Taste,3
Sambuca,Appearance,5
Sambuca,Aroma,5
Sambuca,Initial Taste,5
Sambuca,Flavor,5
Sambuca,After Taste,5
Anisette,Appearance,5
Anisette,Aroma,5
Anisette,Initial Taste,5
Anisette,Flavor,5
Anisette,After Taste,5
Ouzo,Appearance,5
Ouzo,Aroma,1
Ouzo,Initial Taste,1
Ouzo,Flavor,1
Ouzo,After Taste,1
